Pays,Nom officiel,Adhésion,Capitale,Superficie
Allemagne(DE),République fédérale d'Allemagne,"<a href=""/wiki/Histoire_de_l%27Union_europ%C3%A9enne#La_CEE_:_du_marché_commun_aux_Communautés_européennes"" title=""Histoire de l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 1958</a>",Berlin,356 900
Autriche(AT),République d'Autriche,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_l%27Autriche_%C3%A0_l%27Union_europ%C3%A9enne"" title=""Adhésion de l'Autriche à l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 1995</a>",Vienne,83 900
Belgique(BE),Royaume de Belgique,"<a href=""/wiki/Histoire_de_l%27Union_europ%C3%A9enne#La_CEE_:_du_marché_commun_aux_Communautés_européennes"" title=""Histoire de l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 1958</a>",Bruxelles,30 500
Bulgarie(BG),République de Bulgarie,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_la_Bulgarie_%C3%A0_l%27Union_europ%C3%A9enne"" title=""Adhésion de la Bulgarie à l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 2007</a>",Sofia,110 910
Chypre(CY),République de Chypre,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_Chypre_%C3%A0_l%27Union_europ%C3%A9enne"" title=""Adhésion de Chypre à l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> mai 2004</a>",Nicosie,9 251
Croatie(HR),République de Croatie,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_la_Croatie_%C3%A0_l%27Union_europ%C3%A9enne"" title=""Adhésion de la Croatie à l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> juillet 2013</a>",Zagreb,56 642
Danemark(DK),Royaume de Danemark,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_du_Danemark_%C3%A0_la_Communaut%C3%A9_%C3%A9conomique_europ%C3%A9enne"" title=""Adhésion du Danemark à la Communauté économique européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 1973</a>",Copenhague,43 100
Espagne(ES),Royaume d'Espagne,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_l%27Espagne_%C3%A0_la_Communaut%C3%A9_%C3%A9conomique_europ%C3%A9enne"" title=""Adhésion de l'Espagne à la Communauté économique européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 1986</a>",Madrid,505 990[4]
Estonie(EE),République d'Estonie,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_l%27Estonie_%C3%A0_l%27Union_europ%C3%A9enne"" title=""Adhésion de l'Estonie à l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> mai 2004</a>",Tallinn,45 227
Finlande(FI),République de Finlande,"<a class=""mw-redirect"" href=""/wiki/Adh%C3%A9sion_de_la_Finlande_%C3%A0_l%27Union_europ%C3%A9enne"" title=""Adhésion de la Finlande à l'Union européenne""><abbr class=""abbr"" title=""Premier"">1<sup>er</sup></abbr> janvier 1995</a>",Helsinki,337 100
